,question,contents
43,도배 공사 시공과정은 어떻게 되나요?,"도배공사 시공과정은 다음과 같습니다. 
1. 벽면정리 : 작업 전 바탕처리는 바탕 면을 충분히 건조시켜 샌드페이퍼 또는 주걱이나 그라인더 등을 이용하여 요철 등의 이물질을 깨끗이 청소한다. 녹 발생 예상 부위는 방청도료 2회 처리로 녹발생을 예방한다. 석고보드는 타카핀등 이물질을 제거한 후 충분히 건조시키고, 이미 곰팡이에 노출된 경우는 석고보드를 교체 시공한다. (etc. 몰딩작업)
2. 도배 전 외벽의 결로 방지제 시공부위는 추후 도배지가 들뜨지 않도록 바인더를 이용하여 표면강화와 퍼티시공 등을 실시하여 바탕 면 정리를 철저히 하여야 한다. 도배지 선정 후 반입량은 설계량에 하자보수 등을 감안하여 반입하여 추후 추가생산 등으로 이색이 생기는 일이 없도록 한다.  (etc. 코너비드 설치)
3. 초배는 밀실하게 겹쳐서 (100m이상) 시공한다. 석고보드판 위의 초배는 생략할 수 있으나 이음부위는 초배지를 2회 바름한다. 초배지는 봉투 바름을 금지하며 초배지가 완전 건조된 후 정배 시공한다. (etc. 아이텍스 ,부직포)
4. 정배공사는 풀은 유독성 물질이 배출되지 않는 맑은 풀을 사용하며 변질된 풀은 사용을 금한다. 도배지는 색상 및 무늬에 따라 맞댄 이음 또는 겹친 이음으로 한다. 
5. 마무리 작업에서 문틀 및 문선 주위는 도배 풀의 화학성분으로 인하여 도장면의 오염이 야기될 소지가 있으므로 도배작업 후 스펀지 등으로 깨끗이 청소한다. 부착물(조명기구, 콘센트, 기타부착물)주변은 현장담당자와 협의 후 원형 및 사각구멍을 정확하게 형태를 갖추어 뚫어야 한다."
44,곰팡이 원인은 무엇이고 어떻게 보수할 수 있나요?,"곰팡이가 발생할 수 있는 원인은 초배, 정배 시 도배풀을 필요이상으로 많이 도포하거나 장마철 시공하여 도배풀이 건조되지 않았을 때, 환경적인 요인 (방위, 결로), 벽체, 바닥의 모르타르가 건조되기 전 도배하였을 때, 겨울철 도배 시공후 장기간 거주하지 않은 신축 아파트의 경우 등이 있습니다. 곰팡이를 제거하는 방법은 먼저 마스크를 착용하고 곰팡이 발생 부위에 곰팡이 포자가 날리지 않고 기존 벽지 제거가 용이하도록 분무기를 사용하여 물기가 충분히 흡수되도록 여러 차례 나누어 분사해줍니다. 다음으로 칼, 스틸헤라, 스틸 브러시 등을 사용해서 곰팡이 부위보다 충분하게 제거한 후 자연건조나 선풍기 등으로 건조해주면 됩니다."
45,곰팡이 포자를 살균하는 법에 대해 알려주세요. ,"곰팡이 포자 살균법은 탄화법, 약물세척법, 도막법, 방습 초배지의 시공 등이 있습니다. 
1. 탄화법 : 토치를 사용하여 포자를 태우는 방법
2. 약물 세척법 : 염산(15%용액), 포르말린(20%용액) 기타 세정용 락스를 모르타르에 충분히 침투하도록 도포하고, 스틸 브러시로 긁으면서 세척
3. 도막법 : 곰팡이 발생이 경미하거나 부분적일 때 선택. 중화제 아크졸, 바인더, 프라이머 등을 곰팡이 부위에 수회 도포하여 도막을 형성시킴으로써 곰팡이의 외부 확산을 차단
4. 방습 초배지의 시공 : 곰팡이를 제거 후, 방부액을 희석시키거나 방부제가 첨가된 풀과 합성 본드를 사용하여 초배* 곰팡이 하자보수를 마친 후에도 자주 환기를 시켜줌으로써 사후 재발 방지의 관리가 필요"
46,도배지 찢김의 원인은 무엇이고 어떻게 보수하면 되는지 알려주세요,"도배지 찢김은 시공 미숙, 다른 공종과 중족되는 현장, 가구 설치시 부주의 등으로 발생할 수 있습니다. 찢긴 부분이 붙어 있는 경우에는, 찢긴 부분의 안팎으로 물을 바르고 5분 정도 숨죽인 후 PVC 층이 떨어지지 않도록 이면지를 제거하고 보수용 풀로 원상태대로 붙이면 됩니다. 찢긴 부분이 없어진 경우에는 동일한 벽지를 찢긴 부위에 대고 맞추고 연필로 겹쳐따서 라인을 표시합니다. 다음으로 보수용 풀을 도포하여 부위에 벽지를 붙이고 자를 대고 자와 칼이 흔들리지 않게 겹쳐땁니다. 공간 초배 위에서 찢긴 경우 겹쳐따기 부분보다 가로세로 2-3cm 넓게 부직포와 운용지를 덧댄 속지를 공간 초배 안으로 밀어넣어 보강합니다."
47,도배지 들뜸의 원인과 어떻게 해결하면 되는지 알려주세요.,"도배지 들뜸은 풀농도가 적합하지 않거나, 극한기 시공, 풀 도포 후 장시간 경과 후 시공, 바탕 상태 불량, 바탕 처리 불량, 초배지 접착 불량, 고열 난방, 과도한 통풍 등이 원인으로 발생할 수 있습니다. 가장자리가 들뜬 경우 들뜬 부위를 들쳐 분무기로 물기를 주고 10분 정도 숨죽인 후 보수용 풀을 바탕에 도포하여 주걱등으로 마무리 할 수 있습니다. 가장자리 외 부분에서 들뜬 경우 40cc 주사기로 들뜬 부위에 풀을 주입하고 주격과 롤러로 마무리합니다. 다음으로 칼을 눕혀서 부위의 가장자리를 1-2cm 베어낸 후 베어낸 부분이 찢기지 않게하며 풀을 주입하여 평활하게 마무리합니다."
48,도배지 풀자국 원인은 무엇이고 보수 방법은 무엇이 있나요?,"풀자국 원인은 과도한 풀 도포, 정배 후 깨끗이 닦지 않을 때, 풀칠된 벽지 접는 방식이 옳지 않을 때, 도배지가 민감한 경우 등이 있습니다. 풀자국 보수방법은 초벌닦기로 물기가 많은 걸레로, 마무리는 물기가 적은 걸레로 닦으면 됩니다. 심한 풀자국은 거친 타올로 부드럽게 닦아주고, 문틀, 반자돌림, 걸레받이 홈에 낀 마른 풀 덩어리는 브러시로 턴 후 젖은 타올로 닦아줍니다. 표면이 예민한 수입벽지류는 특별한 주의가 필요합니다."
49,벽지에 풀주름이 있는데 어떻게 해결해야 하나요?,"풀주름 원인은 과도한 풀 도포, 장시간 숨죽임, 예민한 정배지에 된풀 도포 사용했을 때, 극한기 동결 건조, 정배솔질이 너무 가벼울 때, 풀 불량 등이 있습니다. 풀주름은 재시공하거나 점액밀도가 우수한 가루풀을 사용하고 엠보가 큰 도배지를 선택하는 등의 방법으로 조치할 수 있습니다."
50,벽지에 얼룩이나 변색이 발생하는 원인은 무엇인가요?,"얼룩이나 변색의 원인은 장기간으로 보관한 풀벽지 사용, 이음매 닦으면서 과다하게 물 사용, 충분히 건조되지 않은 모르타르면, 누수나 결로, 초배생략, 저급 초배지 사용, 석고보드 황화 현상, 벽체의 벽화현상 등이 있습니다. 얼룩이나 변색은 작은 범위는 부분 보수하거나 폭갈이 하고 그 외는 재시공하는 것을 추천합니다."
51,녹물이 발생하는 원인은 무엇이고 어떻게 해결해야 하나요?,"녹물의 원인은 방청제 사용누락, 제품 불량, 방화문 프레임 부분의 칼자국 등이 있습니다. 백색계열의 도배지 녹물은 문서용 화이트, 치약, 코킹으로 찍어주고, 색상 벽지는 페인트와 물감을 조합 도배지에 직어두며 건조 후 색상을 확인하여 녹색 부위에 찍어주는 방법으로 보수할 수 있습니다."
52,벽지 이색이 있을 때 어떻게 해결해야 하나요?,"이색 원인은 도배지 불량이거나 생산 일자 및 로트 번호를 구분하지 않고 시공, 교차 시공 무시, 부분 하자보수(폭갈이) 등이 있습니다. 이색 보수 방법은 가장자리 이색일 경우 동일 로트 제품으로 폭갈이, 그 외는 재시공이 있습니다."
53,"주름, 가로 주름, 기포 보수방법을 알려주세요.","주름, 가로 주름, 기포원인은 숨죽임이 너무 길거나 짧을 때, 두꺼운 도배지의 접힌 주름, 아주 얇은 도배지 사용, 극한기 시공, 풀농도 및 도포 불량, 초배주름으로 인한 정배주름 등이 있습니다. 보수 방법은 시공 직후의 주름(기포)는 칼끝이나 바늘 끝으로 공기를 빼주고 압착마무리합니다. 작은 주름은 주사기로 물을 주입하여 압착, 큰주름은 보수용을 풀을 주사기로 주입해서 해결할 수 있습니다. 직물류, 천연소재 벽지는 도배지 표면에 분무기를 사용하여 물을 분사한다. 전면에 미세한 주름은 표면에 물을 분사후 건조를 확인하고, 광범위한 가로 주름은 재시공해야한다."
54,전사 보수방법에 대해 알려주세요.,"전사는 바탕면의 얼룩, 낙서, 도료, 오염이나 프라이머 도포의 불량, 저급 초배지 사용, 석고보드를 뒤집어 시공, 밝고 투명한 도배지일경우 발생할 수 있습니다. 
전사보수방법은 부분보수, 폭갈이, 재시공이 있습니다. 바탕면의 수성 필기구 낙서, 도료오염등의 전사는 아크졸, 바인더용액을 2회 도포후 보수할 수 있습니다."
55,단차가 생기는 이유는 무엇이고 해결하는 방법에 대해 알려주세요. ,"단차원인은 바탕면 불량, 석고보드 및 단열재 연결 부위 퍼티작업, 공간 초배 생략,  내장 마감재 불량, 초배시공 불량, 초배지로 인한 단차, 도배지의 이어붙임, 미장, 석고보드보수 후 퍼티작업 미흡및 생략 등이 있습니다. 
단차보수방법은 하자 부분의 도배지제거 후 퍼티, 샌딩 작업 후 폭갈이, 재시공입니다. 경미한 단차는 정배솔질을 건나 쓸기하여 시공면과 압착시키지않고 부분적으로 공간을 형성한다. 부직포나 초배지를 문틀, 반지돌림, 걸레받이 끝선까지 시공하지 않아 단차가 생길경우 퍼티대신 수성 코킹으로 면을 잡은 후 재시공합니다."
56,공간초배터짐의 원인은 무엇인가요?,"공간초배터짐의 원인은 가장자리 접착 불량, 단열재 및 퍼티 시공면의 프라이머 도포 불량, 스팬에 대응하는 가장자리 접착면이 좁을 때, 긴 스팬의 인정력에 대응할 수 있도록 가장자리 2중 접착을 하지 않았을 때, 과다한 습도와 누수, 고열 난방, 장시간 숨죽임 도배지 사용 등이 있습니다. 공간초배터짐보수방법은 하자 있는 단열재 가장자리 부직포 접착면을 넓게 하거나 단열재와 석고보드면의 단차를 건너 이중접착 시공하는 법이 있습니다. "
57,"문상, 창하, 커튼박스 등 박스 부위 불량 원인은 무엇이고 어떻게 보수하면 되나요?","문상, 창하, 커튼박스 등 박스부위 불량원인은 도배지 분할계획, 재단 불량, 틈새의 퍼티작업 불량 등이 있습니다. 이에 대한 보수방법으로 들뜸은 코킹, 보수풀을 사용하여 접착, 틈새는 코킹, 퍼티로 충진하고 도련하는 법 등이 있습니다."
58,요철 원인에 대해 알려주세요. 요철 보수방법은 어떻게 되나요?,"요철원인은 견출 작업 불량, 퍼티 및 그라인딩 미흡, 정배솔의 강약 각도 조절의 미숙, 바탕면에 예민한 도배지 시공, 초배지를 몰딩, 걸래받이, 프레임, 끝선까지 시공무시 등이 있습니다.
요철보수방법으로 작은 요철(톱밥, 모래)은 가볍게 망치로 쳐주고, 도배지 제거후 사포로 샌딩후 재시공, 요철이 심할 때는 퍼티 > 샌딩 > 프라이머 > 재시공, 요철이 있는 바탕면에는 공간초배를 하거나 엠보가 크고 두꺼운 도배지를 선택하는 것  등이 있습니다."
59,코너 부위 들뜸이 발생하는 이유는 무엇이고 어떻게 보수할 수 있나요?,"코너 중 아웃코너는 정배솔의 감아쓸기가 약했거나 생략했을 경우, 마감 불량, 코너비드 생략, 틈막이 초배 불량 혹은 생략, 두꺼운 도배지 및 묽은 풀 사용, 숨죽임 짧음 등으로 발생할 수 있습니다. 인코너는 접착 보강제품(수성 실리콘, 본드)를 미흡하게 사용해 발생할 수 있습니다. 코너 들뜸 보수 방법은 주사기로 접착제를 주입하고 주걱 롤러로 마무리 한 후 공간 초배 안으로 주사기로 물을 주입하고 건조합니다. 재시공할 경우 코너비드를 시공 후 공간 초배(밀착초배) 후 마무리합니다. 인코너는 도배지 겹침 부위에 물을 적신 후에 겹침부위를 벌려 접착제를 도포하고 공간 층없이 압착해서 보수하면 됩니다."
60,틈막이 초배 불량은 어떤 것이 있고 어떻게 해결할 수 있나요?,"틈막이 초배불량 들뜸, 파열원인으로는 응력을 충분히 대응하지 못한 반자 재료를 선택했거나 내장 시공불량, 반자를 구성하는 석고보드, 각재, 몰딩의 건조로 인한 신축 변형, 석고보드 연결부위의 퍼티작업으로 인한 틈막이 초배의 접착 불량, 극한기 시공 등이 있습니다. 비틀림, 들뜸은 주사기로 틈막이 초배안에 물을 주입, 분무기로 표면애 물을 분사하고 건조후 비틀린 쪽 방향으로 주걱, 롤러로 잡아줘서 보수합니다. 파열의 경우 작은 파열은 접착을 시도하거나 땡방을 하고 큰 파열은 폭갈이, 전면 재시공할 수 있습니다."
61,이음매 긁힘이 발생하는 원인은 무엇인가요?,이음매 긁힘은 이음매에 주걱으로 지나치게 문지르거나 거친 타올로 이음매를 닦는 경우나 워싱처리 되지 않은 종이벽지의 이음매에 물을 사용하여 무리하게 닦는 것 등으로 발생할 수 있습니다. 이음매 긁힘은 부분 폭갈이나 재시공으로 해결할 수 있습니다. 
62,단열재 부위가 들뜨는 이유는 무엇일까요?,"단열재 부위 들뜸 원인은 부직포 가장자리의 이중 접착을 생략했거나 인장력에 대응하도록 흠을 두지 않았을 때, 프라이머 누락, 결로와 과다한 실내습도, 단열재 바탕 상태 불량 등이 있습니다. 보수방법은 들뜸 부위의 단열재 면에 프라이머를 2회 도포 후 1시간을 건조시킵니다. 다음으로, 들뜸 부위의 안팎으로 분무기를 사용하여 물을 분사하고 숨줌임 후 보수용 풀로 재접착합니다. 단열재 부위에 인장력에 대응할 수 있도록 여러 곳의 홈을 찍고 퍼티 > 샌딩 > 프라이머 도포 > 접착 순서로 마무리합니다. 보수 후 2일 정도는 난방이나 통품을 금합니다."
63,콘센트나 전기구 주위에 노출이나 찢김 불량을 해결하는 방법을 알려주세요. ,"전기구 주위 불량(노출, 찢김)원인은 절개선이 깔끔하게 도련되지 않았을 때, 전기구 설치 시 훼손됐거나 전기구 주의 초배, 정배지의 접착 불량일 때, 건조, 수축으로 인한 파열됐을 때 등이 있습니다. 이를 해결하기 위해서는, 전기구 커버를 벗겨낸 후 불량 부위를 깔끔하게 접착하고 노출이 경미할 경우에는 코킹이나 동일한 도배지로 정교하게 마무리합니다. 찢겨져 없어진 부위는 정교하게 겹쳐따서 마무리하고, 건조나 수축으로 파열 부위가 큰 경우에는 재시공을 권장합니다."
64,"전기배선 구멍의 원인은 뭐고, 어떻게 처리할 수 있나요?","전기배선 구멍은 전선 배선 위치 설계 불량, 전선 배선 위치를 필요 이상으로 넑게 뚫었을 때, 전기구 선치 불량 등 이유로 발생할 수 있습니다. 전기배선구멍 보수방법은 경미한 구멍은 겹쳐따는데 이대 자를 사용하여 사면을 도련하면 칼선이 흔들릴 우려가 있기 때문에 적당한 크기의 알루미늄 사각봉을 대고 도련해서 정교하게 해야 합니다."
65,"문틀 쐐기의 보수방법에는 뭐가 있나요?
구사비 보수방법에는 어떤게 있나요?","문틀 쐐기(구사비)원인은 문틀 시공 불량, 현장측 무리한 작업 계획(선후 공정이 뒤바뀔때) 등이 있습니다. 문틀 쐐기(구사비) 보수방법은 쐐기를 가릴 수 있는 최소한의 크기로 정교히 겹쳐따기, 수량이 많을 경우에 문틀쪽 1폭을 폭갈이 등이 있습니다."
,"시멘트 모르타르 레이턴스의 원인은 어떤게 있나요?
시멘트 모르타르 레이턴스를 보수할 때 어떤 비율로 묽은 프라이머를 만들어야 하며, 이를 도포한 후 얼마나 건조시켜야 하나요?
시멘트 모르타르 레이턴스 보수방법을 알려주세요
","시멘트 모르타르 레이턴스 원인은 모르타르 배합 불량, 극한기 시공, 프라이머 도포 미흡, 생략 등이 있습니다.

시멘트 모르타르 레이턴스 보수방법은 밀도가 좋지 않은 모르타르의 공극 사이로 침투할 수 있도록 묽은 프라이머(바인더7: 물3)를 도포 1시간 건조시킵니다. 또는, 장판지 들뜬 부위의 안팎으로 분무기를 사용하여 물을 충분히 분사, 숨죽임시킨 후 보수용 풀로 재접착합니다. 보수 후 2~3일간 난방이나 통풍을 금합니다."
,"띠벽지 들뜸원인에는 뭐가 있나요?
띠벽지 들뜸 보수방법을 알려주세요.
띠벽지 들뜸 보수 시, 띠벽지를 분무기를 사용하여 어떻게 적절히 촉촉하게 만들어야 하나요?","띠벽지 들뜸원인은 접착제의 농도, 배합 불량, 압착 시공불량 그리고 피착재인 바탕 도배지가 고광택, 코팅 도배지일 경우 등이 있습니다.

띠벽지 들뜸보수방법에는 바탕 도배지가 찢어지지 않도록 주의하며 띠벽지 안팎으로 분무기를 사용하여 물을 분사한 후 10정도 숨죽이거나, 접착력이 우수한 수용성 본드로 재접합니다.또한, 바탕 도배지의 표면이 고광택, 코팅 재질일 경우에는 수용성 본드에 바인더, 아크졸을 소량(10% 이내) 혼합하여 접착하는 방법 등이 있습니다."
,"이면지 탈락(배접)원인이 뭔가요?
이면지 탈락(배접) 보수방법을 알려주세요.
","이면지 탈락(배접)원인은 풀 도포 불량, 숨죽임 시간이 너무 길었을 때, 본드를 과다하게 희석했거나 도포가 고르지 않았을 때. 이면지와 PVC층의 접착 불량(도배지 불량)등이 있습니다.

이면지 탈락(배접)보수방법에는 건조 후 도배지의 표면에 비치는 배접 하자는 묽은 풀과 백색 수성 페인트를 혼합하여 주사기에 넣어 배접 부위에 소량 주입후 롤러로 조정하거나, 이음매 부위의 배접이 박리되어 들떠 있는 경우엔 된풀을 사용 접착후 롤러 보정하는 방법 등이 있습니다."
,"도련미숙은 어떤 이유로 발생하나요?
지나치게 예민한 도배지가 도련미숙의 원인이 될 수 있나요?
도련미숙 보수 방법에는 뭐가 있나요?
무엇을 이용해 도련미숙을 보수할 수 있나요?","도련미숙 원인은 미장, 내장 목공 등 타 공종 시공이 깔끔하지 않을 때, 장시간 숨죽임으로 인해 도배지의 밀도가 풀어진 상태 혹은 지나치게 예민한 도배지 재질일 경우가 있습니다.
도련미숙 보수방법은 경미한 경우 건조 후 마무리 도련하여 보수하거나 동색의 실리콘, 사인펜, 유화용 물감으로 커버하지만 완벽한 보수는 어려울 수 있습니다. 또한, 동일한 로트의 도배지를 가늘게 재단하여 덧대주거나 상태가 심할 때 폭갈이 방법을 선택합니다."
,"곰팡이 발생이 석고보드 부분 교체의 원인이 될 수 있나요?
석고보드 부분 교체의 원인이 무엇인가요?
석고보드 부분 교체 보수방법에 대해 알려주세요.
석고보드 부분 교체가 부분 보수일 경우 어떻게 진행하나요?","석고보드 부분 교체(미장보수)원인은 도배 시공 후 석고보드를 부분교체하거나, 자재, 내장 시공 불량한 경우 그리고 석고보드의 곰팡이 발생 및 물먹음의 경우가 있을 수 있습니다.

석고보드 부분 교체(미장보수)보수방법으로는 석고보드를 교체하거나 미장 땜방 부위의 도배지를 제거한 후 퍼티작업 > 샌팅> 프라이머 후 폭갈이, 전면 재시공의 방법이 있습니다. 부분 보수일 경우 겹쳐 따기 후 마무리합니다."
,"타커 돌출의 원인이 무엇인가요?
석고보드의 변형이 타커돌출의 원인이 될 수 있나요?
타커 돌출 보수 방법에 대해 알려주세요.
돌출 타버 부위가 많은 경우 재시공을 진행하나요?","타커돌출원인은 도배 시공 시 돌출 타커 손보기 미흡, 하중에 의한 수축 변형으로 반자틀, 석고보드의 변형 등이 있습니다.

타커돌출 보수방법으로는 돌출면에 도배지를 찢어 덧대고 망치로 가볍게 쳐주거나, 돌출 타커핀 자국이 훼손되었으면 코킹, 문서용 화이트, 동색의 유화물감으로 찍어 마무리하빈다. 또한, 돌출 타커 부위가 많을 경우 재시공의 과정을 거칠 수 있습니다."
,"시멘트 페이스트의 원인이 무엇인가요?
프라이머 도포 미흡 혹은 생략이 시멘트 페이스트의 원인이 될 수 있나요?","시멘트 페이스트 (시멘트 풀가루)원인은 미장 마감 불량, 프라이머 도포 미흡, 생략 등이 있습니다.
시멘트 페이스트 (시멘트 풀가루)보수방법은 레이턴스로 인한 하자 보수 방법과 동일하게 마무리합니다."
,"페인트가 오염되는 이유에 대해 알려주세요.
보양테이프 미시공이 페인트의 오염원인이 될 수 있나요?
페인트가 오염됐을 때 보수방법이 무엇인가요?
","페인트 오염원인은 페인트 시공 시 보양 생략(비닐 커버링, 보양테이프 미시공)등이 있습니다.

페인트 오염보수방법으로는 경미한 경우 코킹, 문서용 화이트, 유화물감으로 마무리합니다. 신나로 닦아주어 변색이 발생하지 않으면 칫솔이나 타올에 묻혀 페인트 제거합니다. 만약, 범위가 크거나 예민한 도배지는 폭갈이 전면 재시공합니다."
,"이물질에는 어떤 종류가 있나요?
이물질 원인을 알려주세요.
각 공종간 중복 작업이 있을 경우 이물질의 원인이 되나요?
이물질이 존재할 경우 보수방법을 알려주세요.
","이물질(풀덩어리,모래,톱밥등)원인은 각 공종간 중복 작업, 또는 바탕 정리 작업 미흡 등이 있습니다.
이물질(풀덩어리,모래,톱밥등)보수방법은 경미한 이물질은 고무망치로 가볍게 쳐주거나, 도배용 칼을 눕혀서 이물질 부위를 L, U자 형으로 베어냅니다. 베어낸 부분을 들취서 이물질을 제거하고 수성본드로 붙입니다. 이물질 하자의 범위가 클 경우 재시공합니다."
,"무늬맞춤 불량 원인이 뭔가요?
무늬맞춤이 불량일 때 보수방법을 알려주세요.
무늬맞춤이 경미한 오차일 경우 어떻게 대처할 수 있나요?
무늬맞춤이 허용 오차 이상일 때의 보수방법은 어떻게 되나요?","무늬맞춤 불량원인은 리피트 간격 불량(자재로 인한 하자) 등이 있습니다.
무늬맞춤 불량보수방법으로는 숨죽임, 시공 속도의 시간차, 도배지의 재질, 정배솔질의 강약과 쓸기 방향에 의해 발생하는 경미한 핀트 오차(1~2mm 이내)일 경우 동색의 수성 사인펜, 유화물감으로 정교하게 마무리합합니다. 허용 오차 이상의 무늬 맞춤 불량이라면 폭갈이를 진행합니다."
,합지 겹침이 불량일 때 보수방법이 어떻게 되나요?,합지 겹침 불량 보수방법- 한 두 폭의 겹침 상태가 일정치 않을때 해당 폭을 폭갈이. 
,"직물 풀림의 원인이 무엇인가요?
벽지 풀림의 원인이 무엇인가요?
올풀림의 원인이 무엇인가요?
직물풀림의 보수방법은 어떻게 되나요?
벽지 풀림의 보수방법은 어떻게 되나요?
올풀림의 보수방법은 어떻게 되나요?","직물 풀림, 벽지 풀림, 올풀림원인은 이음매 주걱 사용으로 인한 시공 미숙하거나, 정교한 겹칩따기, 서두 재단의 미숙, 그리고 직물 벽지 자재의 재직 상태 불량 등이 있습니다.
직물 풀림, 벽지 풀림, 올풀림보수방법으로는 직물의 섬유조직대로 한 올을 정교하게 덧대줍니다. 풀어진 올끝은 깔끝, 대바늘을 사용하여 투명도가 우수한 보수용 풀로 정교하게 접착시키고 건조 후 올과 동새의 사인팬으로 그려냅니다. "
,"코킹 노출의 원인이 뭐야?
과다한 코킹 충진이 코킹 노출의 원인이 될 수 있어?
코킹 노출 보수방법을 알려줘.","코킹노출원인은 과다한 코킹 충진으로 인한 노출이거나, 여분의 코킹을 깔끔하게 닦지않았을 때 발생합니다.

코킹노출보수방법은 여분의 경화된 코킹은 충분히 물불림 한 후 도배지나 마감재가 훼손되지 않도록 칼끝이나 날선 주걱으로 제거하고 거친타올로 깔끔하게 닦아냅니다. 도배지가 훼손되지 않도록 주의합니다. 코킹의 두께로 인해 문틀 마감선에서 보이는 자국은 문틀과 동색의 사인팬으로 그어서 마감합니다."
,"동결 원인에 대해서 알려줘.
극한기 공사가 동결의 원인이 될 수 있나요?

동결 보수방법에 대해서 알려주세요.","동결 원인은 극한기 공사(무리한 공정)나 난방 가동, 보양 생략으로 인한 동결 그리고 극한기에 창문, 출입문 등을 선행 작업(설치) 하지 않아 실내가 외기에 직접노출 될 때 동결이 발생합니다.

동결 보수 방법은 극한기 낮은 실내온도에서 시공하여 주로 봄철 해동기에서 발생하는 결빙으로 인한 들뜸 이음매 벌어짐, 가장자리 터짐 등의 하자는 각각 해당 보수 방법대로 보수하거나 재시공합니다."
,"누수원인에 대해서 알려줘
설비 하자가 누수의 원인이 될 수 있나요?
누수의 경우 보수방법이 어떻게 되나요?
석고보드가 누수, 침수되었을 때 어떻게 보수하나요?","누수 원인으로는 설비하자, 동파, 상층부 누수로 하층부 침수 등이 있습니다.
누수 보수 방법으로는 누수된 부분의 바닥재를 젖히고 통풍, 난방 가동으로 건조시키거나, 석고보드면에 누수, 침수가 되었다면 석고보드를 전체, 부분 교체합니다. 건조 후 들뜬 부위는 재접착시키고 얼룩, 변색 하자 발생시에는 폭갈이하거나 전면 재시공 합니다. 완전 건조 후 곰팡이 방지 용액을 도포하거나 방습지를 바르고 도배 시공합니다."
,"보양 불량 원인이 뭔가요?
도배 작업 후 충분히 건조되지 않은 상태에서 입주한 경우 보양 불량 원인이 될 수 있나요?
보양 불량일 때 보수방법은 어떻게 되나요?
보양 불량일 때 모서리 부분은 어떻게 해결하나요?","보양 불량 원인은 보양 작업이 미흡하거나 생략된 경우, 타공정과 중복으로 인해 도배지 오염, 훼손이 발생한 경우, 그리고 도배 작업 후 충분히 건조되지 않은 상태에서 입주 등이 있습니다.
보양불량 보수방법은 주로 모서리 보양 부분은 부분 보수 폭갈이하거나, 전면 재시공 재보양합니다."
,"페인트 부위 들뜸 원인에 대해서 알려줘.
페인트 바탕에 프러이머 도포가 미흡하면 페인트 부위가 들뜰 수 있나요?
유성 페인트면의 가장 자리 샌딩 작업이 생략될 경우 페인트 부위가 들뜰 수 있나요?
페인트 부위 들뜸 보수방법은 어떻게 되나요?","페인트 부위 들뜸원인은 페인트 바탕에 프라이머 도포가 미흡하거나 생략된 경우, 도배풀 배합 시 접착 강화제(본드, 바인더) 혼합이 미흡할 때, 그리고 유성 페인트면의 가장 자리 샌딩 작업, 아크졸(표면중화제)을 생략할 경우입니다.

페인트 부위 들뜸보수방법은 바탕처리 후 재시공하는 것입니다."
,"스크래치 원인에 대해서 알려주세요.
어떤 경우에 금속박 도배지의 포일 표면이 꺾이나요?
금속박 도배지의 포일 표면이 꺾인 경우 보수 방법을 알려줘.
스크래치의 보수 방법을 알려줘","금속박 도배지의 포일 표면의 꺾임, 스크래치원인은 풀 도포 후 접어진 상태에서 압력이 가해졌거나 도포된 도배지를 이동하는 과정에서 발생(지절도가 약해서)합니다. 또한, 시공 과정에서 도배지가 꺾이거나 공구로 인해 긁혔을 때, 전기구나 구조물의 부위를 어렵게 도련하는 과정에서 발생합니다.

보수방법으로는 보수용 볼록 롤러로 꺾인 부위를 조정하거나 재시공하는 방법이 있습니다."
,"한지 장판의 경우 걸레받이 들뜸의 원인을 알려주세요.
한지 장판의 걸레받이가 들뜬 경우 보수 방법은 뭐야?","한지 장판의 걸레받이 들뜸 원인은 합성수지 본드 배합이 미흡하거나 생략된 경우, 압착 시공 불량일 때, 바닥의 습기로 인해 접착력 저하 그리고 접지면 모르타르의 요철 및 먼지 등으로 초기 접착력이 부족할때 등이 있습니다.
보수방법으로는 들뜬 부위를 물불림 한 후 합성수지 접착제를 도포 재접착하는 방법이 있습니다."
,"PVC 걸레받이가 들뜨는 이유가 뭔가요?
PVC 걸레받이가 들 뜬경우 어떻게 보수할 수 있나요?","PVC 걸레받이 들뜸 원인은 접지면의 요철 및 먼지 등으로 초기 접착력이 부족하거나, 바닥의 습기나노후에 의한 접착력 저하, 동절기의 낮은 실내온도에서 시공할 때 등이 있습니다.
보수방법으로는 들뜬 부위에 유성 본드(고무볼트), 순간 접착제 등으로 재접착하거나 들뜬 부위를 재시공할 수 있습니다."
,고열난방 통풍이 한지장판 하자의 원인이 될 수 있어?,"한지장판 들뜸 원인은 합성수지 배합비의 부배합,  압착 시공 불량, 숨죽임이 너무 짧을 때, 장판지의 유성으로 인한 접착 불량 그리고 고열난방의 통풍등이 있습니다."
,"시공 직후 한지장판 터짐의 이유가 뭐야?
시공직후 고열난방, 통풍이 한지장판에서 시공직후의 터짐을 유발할 수 있나요?","한지장판 시공 직후 터짐 원인은 초배지와 장판지의 강도가 건조 수축되어가는 과정에서 인장력에 대응하지 못할때, 풀 도포, 배합비, 압착 시공이 불량이 경우가 있습니다. 또한, 장판지의 겹침 이음 부위를 압착 시공 불량이거나 장판지의 겹침 이음 부위를 압착 시공하지 않았을 때, 시공 직후 고열 난방, 통풍 등이 있습니다."
